TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15
,main clause,NRRC,pre-state stop,C of discover,main clause (assertion),VP stupid,nomapp,manner main clause,C of annoyed,again,poss NP,C of glad,cleft,scalar impl,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
10,0,1,1,0,0,1,1,1,1,1,1,1,1,0,
9,0,1,1,0,0,1,1,1,1,1,1,1,0,0,
6,0,1,0,0,0,1,0,0,1,1,1,1,0,0,NA
9,0,1,1,0,0,1,1,1,1,1,1,1,0,0,fun as always
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
7,0,1,0,0,0,0,0,1,1,1,1,1,1,0,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
9,0,1,1,0,0,1,1,1,1,1,1,1,0,0,
10,0,1,1,1,0,1,1,1,1,1,1,0,0,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
9,0,1,1,0,0,0,1,1,1,1,1,1,1,0,
7,0,1,0,0,0,0,1,1,1,1,1,1,0,0,Thank you very much!
7,0,1,1,0,0,1,1,0,1,1,1,0,0,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
9,0,1,1,0,0,1,1,1,1,1,1,1,0,0,"Everything was fine, thanks!"
8,0,1,0,1,0,1,1,0,1,1,1,1,0,0,no comments
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
8,0,1,1,0,0,1,1,0,1,1,1,1,0,0,
9,0,1,1,1,0,1,1,0,1,1,1,1,0,0,interesting
7,0,1,1,0,0,0,1,0,1,1,1,1,0,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
9,0,1,1,0,0,1,1,1,1,1,1,1,0,0,"I enjoyed this study, it was quite interesting. Thank You."
9,0,1,1,0,0,1,1,1,1,1,1,1,0,0,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,0,
9,0,1,1,1,0,1,1,0,1,1,1,1,0,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0,
,0,30,26,16,0,26,28,23,30,30,30,28,5,1
Results (out of 30),,,,,,,,,,,,,,
30,100%,"NRRC, C of annoyed, again, possNP",,,,,,,,,,,,
28,93%,"nomapp, C of glad",,,,,,,,,,,,
26,87%,"pre-state stop, VP of stupid",,,,,,,,,,,,
23,77%,manner with main clause,,,,,,,,,,,,
16,53%,C of discover,,,,,,,,,,,,
5,17%,cleft,,,,,,,,,,,,
1,3%,scalar impl,,,,,,,,,,,,
0,0%,"main clause1, main clause2",,,,,,,,,,,,
