Total NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14
,Main clause1,NRRC,stop,c of discover,Main clause2,VP of stupid,nomapp,main clause w manner adv,c of annoyed,again,poss NP,c of glad,cleft,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
9,0,1,0,1,0,1,1,1,1,1,1,1,0,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
9,0,1,1,1,0,0,1,1,1,1,1,1,0,not really except that some of these were rather oddly worded
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
6,0,1,1,1,0,0,1,1,1,0,0,0,0,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
9,0,1,0,1,0,1,1,1,1,1,1,1,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,"
"
10,0,1,1,0,0,1,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
9,0,1,1,1,0,1,1,1,1,0,1,1,0,
8,0,1,0,0,0,0,1,1,1,1,1,1,1,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,"Cool survey, it's funny how you don't really notice little things in grammar like this."
7,0,1,1,0,0,0,1,0,0,1,1,1,1,
10,0,1,1,1,0,1,1,0,1,1,1,1,1,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
9,0,1,1,1,0,0,1,1,1,1,1,1,0,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
8,0,1,0,0,0,1,1,1,0,1,1,1,1,
11,0,1,1,1,0,1,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,0,
,0,30,26,26,0,25,30,28,28,28,29,29,15
"Results (out of 30, except for cleft which is out of 29):",,,,,,,,,,,,,
30,100%,"NRRC, nomapp",,,,,,,,,,,
29,97%,"possNP, complement of glad",,,,,,,,,,,
28,93%,"main clause with manner adverb, complement of annoyed, again",,,,,,,,,,,
26,87%,"stop, complement of discover",,,,,,,,,,,
25,83%,VP of stupid,,,,,,,,,,,
15,52%,cleft,,,,,,,,,,,
0,0%,"main clause1, main clause2",,,,,,,,,,,
