TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Order
,M0n clause,NRRC,Implicature,"M0n clause ""discover""",M0n clause,"Complement of ""glad""",Nominal app,Complement of annoyed,M0n clause of glad,ag0n,complement of discover,m0n clause of annoyed,
4,0,0,0,0,0,0,1,1,0,1,0,1,AI-NAI
5,0,0,0,0,0,0,1,1,0,1,1,1,AI-NAI
6,0,1,0,0,0,1,1,1,0,1,1,0,AI-NAI
2,0,0,0,1,0,0,0,1,0,0,0,0,AI-NAI
3,0,0,0,0,0,1,1,0,0,1,0,0,AI-NAI
3,0,1,0,0,0,0,1,0,0,1,0,0,AI-NAI
2,0,0,0,0,0,1,1,0,0,0,0,,AI-NAI
4,0,1,0,0,0,0,1,0,0,1,0,1,AI-NAI
4,0,1,0,1,0,0,1,0,0,1,0,0,AI-NAI
5,0,1,0,0,0,1,1,1,0,1,0,0,AI-NAI
5,0,1,0,0,0,1,1,0,1,1,0,,AI-NAI
2,0,1,0,0,0,0,1,0,0,0,0,0,AI-NAI
2,0,0,0,0,0,1,0,1,0,0,0,0,AI-NAI
2,0,1,0,0,0,0,1,0,0,0,0,0,AI-NAI
,0,8,0,2,0,6,12,6,1,9,2,3
20 Turkers,,,,,,,,,,,,
Deleted 3 that didn't give any NAI responses,,,,,,,,,,,,
Deleted 3 gave NAI response to Q1,,,,,,,,,,,,
14 Turkers remain,,,,,,,,,,,,
Results:,,,,,,,,,,,,
12 of 14,86%,Nominal appositive,,,,,,,,,,
9 of 14,64%,again,,,,,,,,,,
8 of 14,57%,NRRC,,,,,,,,,,
6 of 14,43%,"Complement of ""glad"", complement of ""annoyed""",,,,,,,,,,
3 of 12,25%,"Main clause ""annoyed""",,,,,,,,,,
2 of 14,14%,"Main clause ""discover"", complement of ""discover"""
1 of 14,7%,"Main clause of ""glad"""
0 of 14,0%,Implicature
