TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Order
,M0n clause,NRRC,Implicature,"M0n clause ""discover""",M0n clause,"Complement of ""glad""",Nominal app,Complement of annoyed,M0n clause of glad,ag0n,complement of discover,m0n clause of annoyed,
4,0,1,0,0,0,0,1,1,0,1,0,0,NAI-AI
4,0,0,1,1,0,0,0,0,0,0,1,1,NAI-AI
1,0,0,0,0,0,0,0,0,0,0,1,0,NAI-AI
3,0,1,0,0,0,0,1,0,0,1,0,0,NAI-AI
2,0,1,0,0,0,0,0,1,0,0,0,0,NAI-AI
2,0,1,0,0,0,0,0,0,1,0,0,,NAI-AI
1,0,0,0,0,0,1,0,0,0,0,0,0,NAI-AI
1,0,1,0,0,0,0,0,0,0,0,0,0,NAI-AI
7,0,1,0,1,0,1,1,1,0,1,0,1,NAI-AI
3,0,1,0,0,0,0,1,0,0,0,1,0,NAI-AI
7,0,1,1,0,0,1,1,1,1,0,0,1,NAI-AI
5,0,1,0,0,0,1,0,1,1,0,1,0,NAI-AI
,0,9,2,2,0,4,5,5,3,3,4,3,
20 Turkers participated,,
Deleted 3 for only giving AI responses,,
Deleted 5 for giving NAI responses to main clauses,,
12 Turkers remain,,
Results:,,
9 of 12,75%,NRRC
5 of 12,42%,"Nominal appositive, complement of ""annoyed"""
4 of 12 ,33%,"Complement of ""glad"", complement of ""discover"""
3 of 11,27%,"Main clause of ""annoyed"""
3 of 12,25%,"Main clause of ""glad"", again"
2 of 12,17%,"Implicature, main clause of ""discover"""
